ds,y
2023-01-01,0.08333333333333337
2023-01-02,0.16666666666666663
2023-01-03,0.125
2023-01-04,0.125
2023-01-05,0.125
2023-01-06,0.04166666666666663
2023-01-07,0.125
2023-01-08,0.125
2023-01-09,0.125
2023-01-10,0.08333333333333337
2023-01-11,0.08333333333333337
2023-01-12,0.08333333333333337
2023-01-13,0.20833333333333337
2023-01-14,0.16666666666666663
2023-01-15,0.16666666666666663
2023-01-16,0.20833333333333337
2023-01-17,0.04166666666666663
2023-01-18,0.125
2023-01-19,0.20833333333333337
2023-01-20,0.20833333333333337
2023-01-21,0.08333333333333337
2023-01-22,0.08333333333333337
2023-01-23,0.04166666666666663
2023-01-24,0.08333333333333337
2023-01-25,0.08333333333333337
2023-01-26,0.16666666666666663
2023-01-27,0.08333333333333337
2023-01-28,0.04166666666666663
2023-01-29,0.04166666666666663
2023-01-30,0.08333333333333337
2023-01-31,0.04166666666666663
2023-02-01,0.04166666666666663
2023-02-02,0.0
2023-02-03,0.04166666666666663
2023-02-04,0.08333333333333337
2023-02-05,0.20833333333333337
2023-02-06,0.125
2023-02-07,0.16666666666666663
2023-02-08,0.04166666666666663
2023-02-09,0.125
2023-02-10,0.16666666666666663
2023-02-11,0.0625
