ds,yhat,yhat_lower,yhat_upper
2023-01-01,0.13386656375080339,0.06490674351431831,0.20796852323454953
2023-01-02,0.14081816007612727,0.07398223749946012,0.21529173007689248
2023-01-03,0.10610381577081053,0.03819576733592648,0.17558554180253774
2023-01-04,0.09916681283206248,0.027708515927838104,0.16397242764840933
2023-01-05,0.13389530474463238,0.06688947576631282,0.20166818330745276
2023-01-06,0.14084650156858772,0.07727437712723316,0.20906458135407094
2023-01-07,0.1096075095876435,0.04714147532403268,0.17532212482111204
2023-01-08,0.12755330180637237,0.059114119390810654,0.19110043070596258
2023-01-09,0.13450489813230837,0.0612740732324427,0.20670139874568416
2023-01-10,0.09979055383015985,0.03058212046523425,0.16634051000827424
2023-01-11,0.09285355089609594,0.022290540457846918,0.15510249329657025
2023-01-12,0.12758204281459518,0.058876066133863925,0.19384021751596298
2023-01-13,0.1345332396426132,0.0660844395180006,0.19925220370820682
2023-01-14,0.10329424766758444,0.03587871179115438,0.17313885516858282
2023-01-15,0.12124003989050146,0.054560750608889076,0.19319244972127023
2023-01-16,0.1281916362213341,0.0630243478676523,0.19599437975149872
2023-01-17,0.09347729192020758,0.027137910248993324,0.1651394867595034
2023-01-18,0.08654028898576506,0.015831908782608727,0.15475368866947886
2023-01-19,0.12126878090236391,0.055212178663248915,0.1861528164840376
2023-01-20,0.12821997772666133,0.061859947877819205,0.19604927179541234
2023-01-21,0.0969809857475938,0.032267255686671194,0.1637070942782475
2023-01-22,0.11492677796637203,0.04979350126381828,0.1785913776075945
2023-01-23,0.12187837429232481,0.058341155407563516,0.19244544923769777
2023-01-24,0.08716402998937477,0.022832977067540467,0.16003235089582143
2023-01-25,0.08022702705152863,0.00952202797849992,0.14801572177947325
2023-01-26,0.11495551896665004,0.04884039086249205,0.18144549222606526
2023-01-27,0.12190671579127135,0.05838791367315011,0.19261499775643878
2023-01-28,0.0906677238129927,0.022684739074618463,0.1579020674746245
2023-01-29,0.10861351603399032,0.04165268542895675,0.17850512861626372
2023-01-30,0.11556511236124381,0.04345871963740281,0.17926750420408802
2023-01-31,0.08085076805722671,0.013699896366796558,0.14194246874412303
2023-02-01,0.0739137651198869,0.007570298437398535,0.14169671836625633
2023-02-02,0.10864225703609809,0.041184471266541116,0.18209079804818973
2023-02-03,0.11559345386183736,0.04319093356890227,0.18205698247448993
2023-02-04,0.08435446188352463,0.016440716713976265,0.15245215622323247
2023-02-05,0.10230025410350524,0.0374731876659455,0.1680404377762363
2023-02-06,0.10925185043055766,0.04650098344895017,0.17790240375774716
2023-02-07,0.07453750612783065,0.0070179170283784075,0.14208161320279142
2023-02-08,0.06760050319150569,0.001886055560473728,0.13562799416550297
2023-02-09,0.10232899510790067,0.035033094639702576,0.16931625191540048
2023-02-10,0.10928019193359732,0.03927616112644355,0.17742288740764872
2023-02-11,0.07804119995529467,0.010598320506898615,0.14654382506810762
2023-02-12,0.09598699217519048,0.029843568149935443,0.16531251223874216
2023-02-13,0.10293858850233079,0.036311488023205066,0.1663496320360625
2023-02-14,0.06822424419954097,-0.0008905357770065168,0.13193788135275156
2023-02-15,0.061287241263327435,-0.002710362406218388,0.12356703561412131
2023-02-16,0.09601573317971498,0.029914038919020933,0.16178191214546275
2023-02-17,0.10296693000536103,0.03196541790769067,0.1751076098015957
2023-02-18,0.0717279380270647,0.0051484853260356945,0.1369832985454849
2023-02-19,0.08967373024700195,0.02016330406749556,0.14932044057880753
2023-02-20,0.09662532657410391,0.02927441508323392,0.16185605207763146
2023-02-21,0.06191098227131021,-0.007786306939317687,0.1315317508843335
2023-02-22,0.054973979335114345,-0.011103579670177863,0.12719775240519982
2023-02-23,0.08970247125138407,0.022288050762464547,0.15579425780331366
2023-02-24,0.09665366807722472,0.025017555322721482,0.1697877893837082
2023-02-25,0.0654146760988447,-0.002606873796129079,0.13169873627441223
2023-02-26,0.08336046831878793,0.019602278827279426,0.15120043023259438
2023-02-27,0.09031206464585907,0.019970051217628907,0.15526066729335494
2023-02-28,0.05559772034320819,-0.006808819702089779,0.12517294329421094
2023-03-01,0.048660717406901255,-0.017990446869908208,0.11677345608499962
2023-03-02,0.0833892093231984,0.01616360600665504,0.15374986288659198
2023-03-03,0.09034040614898844,0.026414939354079084,0.16080918028610844
2023-03-04,0.05910141417061475,-0.00853198440162874,0.12572015555193827
2023-03-05,0.07704720639059938,0.009708486722858579,0.13993604486533603
2023-03-06,0.08399880271769815,0.016402976685332468,0.1513057279404662
2023-03-07,0.04928445841497742,-0.016558844758909147,0.11601082112777077
2023-03-08,0.042347455478723,-0.024591443499750506,0.109603872009138
2023-03-09,0.07707594739498926,0.004328015618423625,0.1453963579457669
2023-03-10,0.08402714422075216,0.021192792748902626,0.1521274527894018
2023-03-11,0.05278815224242901,-0.015382873260064616,0.11711794998065475
2023-03-12,0.07073394446241082,0.00626134549085029,0.14123223925535508
2023-03-13,0.07768554078947129,0.006195241522455277,0.14348408104878033
